Redox,Phi_mean,Ba,Sr,Cu,Pb,Ni
80,3.22,1967,587,97,65,14
189,3.3,1997,509,8,43,10
85,3.18,1913,836,22,88,13
124,3.11,1922,498,14,38,16
142,3.07,3608,278,5,25,6
153,3.05,3143,302,5,23,10
150,2.96,3096,179,4,28,5
168,3.1,4913,208,4,29,8
213,2.97,2876,299,5,10,8
130,2.9,2999,128,6,16,7
158,3,2175,307,4,25,7
132,2.99,2546,199,4,29,7
99,2.91,2299,115,3,21,36
126,3.22,2773,160,3,13,9
198,2.98,2099,107,3,15,3
203,3.01,2967,142,4,25,7
119,3.07,1822,93,4,24,6
143,3,1114,86,4,12,7
122,3.06,2077,102,3,19,19
84,3.03,1940,114,3,14,7
172,2.95,2749,129,3,16,7
174,3.05,1395,92,4,15,4
142,2.95,1381,91,3,15,8
202,3.03,1427,92,3,12,7
224,3,1755,97,3,18,5
130,3.07,2411,114,3,15,8
122,3.03,769,68,3,13,5
240,3.01,1777,97,3,16,8
120,3,403,54,2,10,4
145,3.1,597,60,2,11,6
178,2.94,2385,117,3,14,7
188,3.07,619,68,2,11,4
209,2.98,644,66,3,12,4
132,3.05,747,66,2,9,6
110,2.89,415,51,3,12,54
179,2.83,436,62,3,12,5
170,2.94,557,62,2,10,8
143,2.92,329,64,2,10,7
